Ключ,Название,Описание
eda_obshch_pnk_obshchee_kolichestvo_edy_obzhorstvo_end_p2,ЕДА-ОБЩ-ПНК :: Общее количество еды (обжорство) 🥙 :: {end} p2,
eda_pnk_molochnoe_end_def0_p3,ЕДА-ПНК 🍽️ :: Молочное 🥛 :: {end} def0 p3,
eda_pnk_muchnoe_pshenitsa_end_p3,ЕДА-ПНК 🍽️ :: Мучное (пшеница) 🍞 :: {end} p3,
eda_pnk_sladosti_end_p3,ЕДА-ПНК 🍽️ :: Сладости 🍬 :: {end} p3,
zhvt-obshch-vzdutie-all-p2,ЖВТ-ОБЩ 🫀 :: Вздутие 🎈 :: {all} p2,
zhvt-obshch-gazy-all-p2,ЖВТ-ОБЩ 🫀 :: Газы 💨 :: {all} p2,"30.05 Поднялось до 4х. Началось после срыва панкреатита 26.05
23.05.25 Ну в целом радует, что в районе 2ух находится. А не 3-4"
zhvt-obshch-diskomfort-v-zhivote-all-p3,ЖВТ-ОБЩ 🫀 :: Дискомфорт в животе 🤕 :: {all} p3,
zhvt_obshch_pnk_izzhoga_all_p3,ЖВТ-ОБЩ-ПНК 🫀 :: Изжога 🔥 :: {all} p3,Сидит ровно на 50%. Задолбала. 
zhvt_obshch_pnk_kal_plokhoi_end_p2,ЖВТ-ОБЩ-ПНК 🫀 :: Кал (плохой) 🟤 :: {end} p2,
zhvt_pnk_kozhnaia_allergiia_p4_def0,ЖВТ-ПНК :: Кожная аллергия :: {} p4 def0,
zhvt_pnk_golovokruzhenie_end_p2,ЖВТ-ПНК 🟤 :: Головокружение 🌀 :: {end} p2,"Стабильно уменьшается. Надо ждать. 👍
За последнюю неделю держаться на одном уровне 🤔"
zhvt_pnk_diareia_end_def0_p3,ЖВТ-ПНК 🟤 :: Диарея 🚽 :: {end} def0 p3,
zhvt_pnk_zapor_one_def0_p3,ЖВТ-ПНК 🟤 :: Запор 🚽 :: {one} def0 p3,
zhvt_pnk_pankreatit_i_moia_subektivnaia_otsenka_end_p0,ЖВТ-ПНК 🟤 :: Панкреатит и моя субъективная оценка 🩺💼 :: {end} p0,
zhvt_pnk_pankreatit_meshaet_rabotat_one_def0_p1,ЖВТ-ПНК 🟤 :: Панкреатит мешает работать 🩺💼 :: {one} def0 p1,
zhvt_pnk_toshnota_end_def0_p4,ЖВТ-ПНК 🟤 :: Тошнота 🤮 :: {end} def0 p4,
zhvt_pnk_fermenty_one_pos_def1_p4,ЖВТ-ПНК 🟤 :: Ферменты 💊 :: {one} pos def1 p4,
zdr_nepriiatnye_oshchushcheniia_v_spine_end_def0_p3,ЗДР :: Неприятные ощущения в спине :: {end} def0 p3,
zdr_zariadka_start_def0_p4_pos,ЗДР 💪 :: Зарядка 🏋️ :: {start} def0 p4 pos,
zdr_obektivno_ia_zabolel_v_osnovnom_prostuda_p3_def0,ЗДР 💪 :: Объективно я заболел (в основном простуда) 🩺 :: {} p3 def0,
zdr_progulka_end_pos_p3,ЗДР 💪 :: Прогулка 🚶 :: {end} pos p3,
mshn_obshch_ezda_na_mashine_end_p3,МШН-ОБЩ 🚗 :: Езда на машине :: {end} p3,
mshn_pskh_nrv_agressiia_za_rulem_one_p3,МШН-ПСХ-НРВ 🚗 :: Агрессия за рулем 🤬 :: {one} p3,Проверка
mshn_pskh_nrv_nervoznost_i_stress_za_rulem_one_p3,МШН-ПСХ-НРВ 🚗 :: Нервозность и стресс за рулем 😠 :: {one} p3,
mshn_pskh_nrv_razdrazhaet_nerviruet_ezda_za_rulem_one_p2,МШН-ПСХ-НРВ 🚗 :: Раздражает (нервирует) езда за рулем 😠 :: {one} p2,
mshn_pskh_nrv_nervoznost_v_doroge_one_p3,МШН-ПСХ-НРВ 🤬 :: Нервозность в дороге 🚗 🤬 :: {one} p3,
obshch_pskh_trv_strakh_za_budushchee_end_p1,ОБЩ-ПСХ-ТРВ :: Страх за будущее :: {end} p1,
obshch_pskh_enr_dovolen_rezultatom_aktivnosti_end_p1_pos,ОБЩ-ПСХ-ЭНР :: Доволен результатом активности :: {end} p1 pos,
obshch_pskh_enr_motivatsiia_i_zhelanie_aktivnost_dvizhenie_vpered_end_pos_p1,ОБЩ-ПСХ-ЭНР :: Мотивация и желание активность (движение вперед) 🔥 :: {end} pos p1,
obshch_pskh_enr_zhiznennaia_energiia_obshchee_sostoianie_all_p0_pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Жизненная энергия 🔋(общее состояние) :: {all} p0 pos,"Не удивительно, что на фоне напряжения, стресса, тревоги жизненная энергия на СРЕДНЕМ уровне. "
obshch_pskh_enr_lebido_end_pos_p2,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Лебидо 💪🏻 :: {end} pos p2,
obshch_pskh_enr_nastroenie_end_p0_pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Настроение 🌞 :: {end} p0 pos,"На удивление, в целом, настроение почти хорошее 😅"
obshch_pskh_enr_pozitiv_v_zhizni_all_p1_pos,ОБЩ-ПСХ-ЭНР 🧘‍♂️ :: Позитив в жизни 🌞 :: {all} p1 pos,"25.05.25 Не понимаю как, но позитив за 7 дн. 79% 🤔"
obshch_pskh_enr_npr_obshchee_napriazhenie_all_p0,ОБЩ-ПСХ-ЭНР-НПР 🧘‍♂️ :: Общее напряжение ⚡ :: {all} p0,⚠️⛔️‼️А вот тут очень и очень опасно пока. Надо всеми силами снижать напряжение с себя. 
obshch_pskh_enr_otd_otdykh_kachestvo_end_pos_p1,ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Отдых (качество) 🏝️ :: {end} pos p1,
obshch_pskh_enr_otd_otdykh_kolichestvo_end_pos_p1,ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Отдых (количество) 🏝️ :: {end} pos p1,
obshch_pskh_enr_otd_tishina_pokoi_odinochestvo_end_pos_p1,"ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Тишина, покой, одиночество 🧘🏻‍♂️ :: {end} pos p1",
obshch_pskh_enr_otd_khochu_otdykhat_end_p0,ОБЩ-ПСХ-ЭНР-ОТД 👤 :: Хочу отдыхать :: {end} p0,
obshch_pskh_enr_otd_ust_obshchee_oshchushchenie_ustalosti_end_p0,ОБЩ-ПСХ-ЭНР-ОТД-УСТ 👤 :: Общее ощущение усталости 😩 :: {end} p0,"29.05.23 опять начинает безудержно расти
25.05.23 ну от пиковой усталости и я ушел"
obshch_pskh_enr_otd_ust_ustalost_k_seredine_dnia_one_p0,ОБЩ-ПСХ-ЭНР-ОТД-УСТ 👤 :: Усталость к середине дня 😪 :: {one} p0,25.05.23 в целом хороший результат 👍
obshch_pskh_enr_otd_ust_slabost_vialost_all_p2,ОБЩ-ПСХ-ЭНР-ОТД-УСТ 🧘‍♂️ :: Слабость вялость 😔 :: {all} p2,
obshch_pskh_enr_otd_ust_ustalost_k_kontsu_dnia_end_p0,ОБЩ-ПСХ-ЭНР-ОТД-УСТ👤 ::  Усталость к концу дня :: {end} p0,
prd_mlk_morozhennoe_def0_p4,ПРД-МЛК 🥗🥛 :: Мороженное 🍦 :: {} def0 p4,
prd_mlk_pnk_iogurt_def0_p4,ПРД-МЛК-ПНК 🥗🥛 :: Йогурт 🍶 :: {} def0 p4,
prd_mlk_pnk_syr_all_def0_p3,ПРД-МЛК-ПНК 🥗🥛 :: Сыр 🧀 :: {all} def0 p3,
prd_mlk_pnk_tvorog_all_def0_p4,ПРД-МЛК-ПНК 🥗🥛 :: Творог 🍶 :: {all} def0 p4,
prd_much_lapsha_end_def0_p3,ПРД-МУЧ 🥗🌾 :: Лапша 🍜 :: {end} def0 p3,
prd_much_pelmeni_def0_p4,ПРД-МУЧ 🥗🌾 :: Пельмени 🥟 :: {} def0 p4,
prd_much_pitstsa_def0_p4,ПРД-МУЧ 🥗🌾 :: Пицца 🍕 :: {} def0 p4,
prd_much_pnk_vypechka_bulochki_all_def0_p3,ПРД-МУЧ-ПНК 🥗🌾 :: Выпечка (булочки) 🥐 :: {all} def0 p3,
prd_much_pnk_pechenia_all_def0_p3,ПРД-МУЧ-ПНК 🥗🌾 :: Печенья 🍪 :: {all} def0 p3,
prd_mias_plov_def0_p4,ПРД-МЯС 🥗 :: Плов :: {} def0 p4,
prd_mias_shashlyk_def0_p4,ПРД-МЯС 🥗 :: Шашлык 🍢 :: {} def0 p4,
prd_mias_pnk_svinina_zharenaia_def0_p4,ПРД-МЯС-ПНК 🥗 :: Свинина жареная 🥩 :: {} def0 p4,
prd_obshch_ovoshchi_svezhie_end_pos_def0_p3,ПРД-ОБЩ :: Овощи свежие 🥗 :: {end} pos def0 p3,
prd_obshch_ris_all_def0_p3,ПРД-ОБЩ 🥗 :: Рис 🍚 :: {all} def0 p3,
prd_obshch_pnk_zharenaia_ili_zhirnaia_eda_all_p3,ПРД-ОБЩ-ПНК 🥗 :: Жареная или жирная еда 🍟 :: {all} p3,
prd_obshch_pnk_kofe_end_def0_p3,ПРД-ОБЩ-ПНК 🥗 :: Кофе ☕ :: {end} def0 p3,
prd_ryb_ukha_def0_p4,ПРД-РЫБ 🥗 :: Уха :: {} def0 p4,
prd_sld_pnk_konfety_end_def0_p4,ПРД-СЛД-ПНК 🥗 :: Конфеты 🍬 :: {end} def0 p4,
prd_sld_pnk_sneki_end_def0_p3,ПРД-СЛД-ПНК 🥗 :: Снеки  :: {end} def0 p3,
prd_sld_pnk_shokolad_end_def0_p4,ПРД-СЛД-ПНК 🥗 :: Шоколад 🍫 :: {end} def0 p4,
prd_frk_iabloki_def0_p4,ПРД-ФРК 🥗🍇 :: Яблоки 🍎 :: {} def0 p4,
pskh_chat_byla_li_podderzhka_ili_dobrota_ot_kogo_to_end_pos_p1,ПСХ-Chat 🧘‍♂️ :: Была ли поддержка или доброта от кого-то? ❤️ :: {end} pos p1,
pskh_chat_bylo_li_oshchushchenie_smysla_tsennosti_v_dne_end_pos_p1,ПСХ-Chat 🧘‍♂️ :: Было ли ощущение смысла/ценности в дне? 💡 :: {end} pos p1,
pskh_chat_chuvstvo_viny_za_den_end_p1,ПСХ-Chat 🧘‍♂️ :: Чувство вины за день 😞 :: {end} p1,25.05.23 пока что проживаю в сплошном стыде
pskh_nrv_dovodit_zhena_end_def0_p2,ПСХ-НРВ 🤬 ::  Доводит жена :: {end} def0 p2,
pskh_nrv_agressiia_all_p2,ПСХ-НРВ 🤬 :: Агрессия 🤬 :: {all} p2,
pskh_nrv_dovodiat_deti_end_def0_p1,ПСХ-НРВ 🤬 :: Доводят дети 🧒😤 :: {end} def0 p1,"О каком спокойном и гармоничном состоянии можно думать, если я на столько сильно нервничаю с детьми? ⚠️⁉️"
pskh_nrv_krichu_na_detei_end_def0_p2,ПСХ-НРВ 🤬 :: Кричу на детей 🧒😤 :: {end} def0 p2,
pskh_nrv_krichu_na_zhenu_end_def0_p3,ПСХ-НРВ 🤬 :: Кричу на жену 😤 :: {end} def0 p3,
pskh_nrv_nervoznost_v_obshchem_all_p1,ПСХ-НРВ 🤬 :: Нервозность в общем 😬 :: {all} p1,23.05.25 Я задался целью снизить нервозность. Посмотрим. Пока вроде иду на снижение. 
pskh_nrv_tiki_nervnye_all_p1,ПСХ-НРВ 🤬 :: Тики Нервные 😵‍💫 :: {all} p1,"Ужасно высокие тики ‼️⛔️⚠️
И пока нет никах предпосылок к снижению 😪"
pskh_nst_apatiia_end_p2,ПСХ-НСТ 🧘‍♂️ :: Апатия 😢 :: {end} p2,"25.05.23 снижается. Но все равно не приятно, что она присутствует. "
pskh_nst_vypad_iz_kolei_ne_rabochee_sostoianie_end_p3_fv,ПСХ-НСТ 🧘‍♂️ :: Выпад из колеи (не рабочее состояние) 🛑 :: {end} p3 fv,
pskh_nst_depressiia_end_def0_p4,ПСХ-НСТ 🧘‍♂️ :: Депрессия 🌧️ :: {end} def0 p4,
pskh_nst_udovolstvie_ot_dnia_dovolen_end_p0_pos,ПСХ-НСТ 🧘‍♂️ :: Удовольствие от дня (доволен) 👍🏻 :: {end} p0 pos,"Радует, что я получаю удовольствие от дня 👍. Хотя до ведения статистики я бы так и не подумал. "
pskh_obshch_chuvstvo_broshennosti_nenuzhnosti_end_pos_p1,"ПСХ-ОБЩ :: Чувство брошенности, ненужности ❤️ :: {end} pos p1",
pskh_trv_suetlivost_all_p3,ПСХ-ТРВ 🧘‍♂️ :: Суетливость 🤯 :: {all} p3,
pskh_trv_trevoga_all_p2,ПСХ-ТРВ 🧘‍♂️ :: Тревога 👻 :: {all} p2,
rbt_obshch_pskh_giperfokus_povyshennaia_nagruzka_all_p3,РБТ-ОБЩ-ПСХ 💼 :: Гиперфокус (повышенная нагрузка) 🎯⚡ :: {all} p3,
rbt_obshch_pskh_effektivnost_v_realnoi_rabote_all_p1_pos,РБТ-ОБЩ-ПСХ 💼 :: Эффективность в реальной работе 📈 :: {all} p1 pos,
rbt_pskh_dovolen_rezultatom_realnoi_rabotoi_all_p1_pos,РБТ-ПСХ 💼 :: Доволен результатом реальной работой 👍🏻 :: {all} p1 pos,
rbt_pskh_komfort_v_realnoi_rabote_all_pos_p2,РБТ-ПСХ 💼 :: Комфорт в реальной работе 😓 :: {all} pos p2,
rbt_pskh_trv_zhelanie_sbezhat_ot_realnykh_trudnostei_all_p3,РБТ-ПСХ- ТРВ 💼 :: Желание сбежать от реальных трудностей 🏃‍♂️👻 :: {all} p3,
rbt_pskh_nrv_napriazhenie_v_realnoi_rabote_end_p3,РБТ-ПСХ-НРВ 💼 :: Напряжение в реальной работе :: {end} p3,
rbt_pskh_nrv_razdrazhaet_nerviruet_otvrashchenie_realnaia_rabota_all_p1,"РБТ-ПСХ-НРВ 💼 :: Раздражает (нервирует, отвращение) реальная работа 😠 :: {all} p1",
rbt_pskh_nrv_razmerennaia_i_spokoinaia_realnaia_rabota_end_pos_p2,РБТ-ПСХ-НРВ 💼 :: Размеренная и спокойная реальная работа :: {end} pos p2,
rbt_pskh_trv_rabota_vyzyvaet_sonlivost_one_p2,РБТ-ПСХ-ТРВ :: Работа вызывает сонливость :: {one} p2,
rbt_pskh_trv_preodolel_zhelanie_sbezhat_ot_realnykh_trudnostei_end_p3_pos,РБТ-ПСХ-ТРВ 💼 :: Преодолел желание сбежать от реальных трудностей :: {end} p3 pos},
rbt_pskh_trv_prokrastinatsiia_all_def0_p3,РБТ-ПСХ-ТРВ 💼 :: Прокрастинация 😵⏳ :: {all} def0 p3,
rbt_pskh_trv_sbezhal_ot_problem_v_realnoi_aktivnosti_end_p3,РБТ-ПСХ-ТРВ 💼 :: Сбежал от проблем в реальной активности 😱 :: {end} p3,
rbt_pskh_trv_strakh_raboty_end_p2,РБТ-ПСХ-ТРВ 🧘‍♂️ :: Страх работы 😱 :: {end} p2,
rbt_pskh_enr_motivatsiia_i_zhelanie_na_realnuiu_rabotu_all_p0_pos,РБТ-ПСХ-ЭНР 💼 :: Мотивация и желание на реальную работу 🔥 :: {all} p0 pos,31.05 Растет
rbt_pskh_enr_poluchil_udovolstvie_ot_realnoi_raboty_all_pos_p0,РБТ-ПСХ-ЭНР 💼 :: Получил удовольствие от реальной работы 🔥 :: {all} pos p0,
son_vysypanie_start_pos_p1,СОН 🛌 :: Высыпание 😴 :: {start} pos p1,25.05 🟨 Слабовато. Надо лучше высыпаться. Как бы это не переросло в проблемы.
son_dlitelnost_sna_start_pos_p3,СОН 🛌 :: Длительность сна 🕜 :: {start} pos p3,
son_dnevnoi_son_one_def0_p3,СОН 🛌 :: Дневной сон 😴 :: {one} def0 p3,
son_kachestvo_sna_start_pos_p3,СОН 🛌 :: Качество сна 😴 :: {start} pos p3,25.05 🟩 Слава богу со сном всё в порядке!
son_pozdno_leg_spat_start_p3,СОН 🛌 :: Поздно лег спать 🕜 :: {start} p3,
son_iarkie_sny_p4_def0,СОН 🛌 :: Яркие сны 🌈🛌 :: {} p4 def0,
son_pnk_sonlivost_all_p2,СОН-ПНК 🛌 :: Сонливость 😴 :: {all} p2,
